School Name,URL,State,Address,Latitude,Longitude
Erie Community College State University of New York,http://ecc.edu,NY,"6205 Main St, Williamsville, NY 14221",42.9600797,-78.7232639
Elim Bible Institute,http://elim.edu,NY,"7245 College St, Lima, NY 14485, USA",42.9093702,-77.6153061
Elmira College,http://elmira.edu,NY,"1 Park Pl, Elmira, NY 14901, USA",42.096407,-76.8164132
Empire State College,http://esc.edu,NY,"3 Washington Center 2nd floor, Newburgh, NY 12550",41.5010827,-74.0078404
College of Environmental Science and Forestry,http://esf.edu,NY,"1 Forestry Dr, Syracuse, NY 13210, USA",43.0347192,-76.1363527
Farmingdale State College,http://farmingdale.edu,NY,"2350 NY-110, Farmingdale, NY 11735, USA",40.7541754,-73.4283454
Fashion Institute of Technology,http://fitnyc.edu,NY,"227 W 27th St, New York, NY 10001, USA",40.7472834,-73.9948531
Finger Lakes Community College,http://flcc.edu,NY,"3325 Marvin Sands Dr, Canandaigua, NY 14424, USA",42.8671852,-77.2410092
Fordham University,http://fordham.edu,NY,"113 W 60th Street, New York, NY 10023",40.7702894,-73.9845713
Fredonia University,http://fredonia.edu,NY,"280 Central Ave, Fredonia, NY 14063, USA",42.4531095,-79.3407527
Five Towns College,http://ftc.edu,NY,"305 N Service Rd, Dix Hills, NY 11746, USA",40.7945627,-73.3686541
Geneseo University,http://geneseo.edu,NY,"1 College Cir, Geneseo, NY 14454, USA",42.7974129,-77.8221745
Globe Institute of Technology,http://globe.edu,NY,"500 7th Ave, New York, NY 10018, USA",40.7531386,-73.9894616
The General Theological Seminary,http://gts.edu,NY,"440 W 21st St, New York, NY 10011, USA",40.7458439,-74.0039926
Hamilton College,http://hamilton.edu,NY,"198 College Hill Rd, Clinton, NY 13323, USA",43.0498753,-75.4060355
Hartwick College,http://hartwick.edu,NY,"1 Hartwick Dr, Oneonta, NY 13820, USA",42.4586674,-75.0718461
Herkimer College,http://herkimer.edu,NY,"100 Reservoir Rd, Herkimer, NY 13350, USA",43.0322822,-75.006246
Hofstra University,http://hofstra.edu,NY,"1000 Hempstead Tpke, Hempstead, NY 11549, USA",40.7140683,-73.6036277
Hudson Valley Community College,http://hvcc.edu,NY,"80 Vandenburgh Ave, Troy, NY 12180, USA",42.6956521,-73.6869188
Hobart and William Smith Colleges,http://hws.edu,NY,"300 Pulteney St, Geneva, NY 14456, USA",42.8591561,-76.9857277
Institute of Design and Construction,http://idc.edu,NY,"141 Willoughby St, Brooklyn, NY 11201, USA",40.6923307,-73.9831021
Iona College,http://iona.edu,NY,"715 North Ave, New Rochelle, NY 10804, USA",40.9263303,-73.7856363
Ithaca College,http://ithaca.edu,NY,"953 Danby Rd, Ithaca, NY 14850, USA",42.4199351,-76.4969643
The Jewish Theological Seminary,http://jtsa.edu,NY,"3080 Broadway, New York, NY 10027, USA",40.8119615,-73.9601139
The Juilliard School,http://juilliard.edu,NY,"60 Lincoln Center Plaza, New York, NY 10023, USA",40.7721411,-73.9851111
Keuka College,http://keuka.edu,NY,"141 Central Ave, Keuka Park, NY 14478, USA",42.6153271,-77.0905313
Lehman College,http://lehman.edu,NY,"250 Bedford Park Blvd W, Bronx, NY 10468, USA",40.8743468,-73.8926398
Le Moyne,http://lemoyne.edu,NY,"1419 Salt Springs Rd, Syracuse, NY 13214, USA",43.0496767,-76.0890901
Lim College,http://limcollege.edu,NY,"216 E 45th St, New York, NY 10017, USA",40.7521105,-73.9721526
Long Island University,http://liu.edu,NY,"1 University Plaza, Brooklyn, NY 11201",40.6912612,-73.9812235
Manhattan College,http://manhattan.edu,NY,"4513 Manhattan College Pkwy, Bronx, NY 10471, USA",40.890317,-73.9026776
Marist College,http://marist.edu,NY,"3399 North Rd, Poughkeepsie, NY 12601, USA",41.7210577,-73.934237
Metropolitan College of New York,http://mcny.edu,NY,"60 West St, New York, NY 10006, USA",40.708707,-74.0146867
Mercy College,http://mercy.edu,NY,"555 Broadway, Dobbs Ferry, NY 10522, USA",41.0212068,-73.8745256
Marymount Manhattan College,http://mmm.edu,NY,"221 E 71st St, New York, NY 10021, USA",40.7688034,-73.9598015
